AnnoNo	AnnoDate	AnnoTitle	AnnoContent	SiteId	County	IsSoil	IsGw
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12471	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12470	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12468	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12466	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N12465	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N11312	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N11284	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N11078	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N11068	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N11050	彰化縣	0	0
府授環水字第1050202771號	2016/6/28	公告本縣和美鎮2筆、鹿港鎮2筆及彰化市15筆地號，共計19筆地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。		N11033	彰化縣	0	0
府環土字第1050583449B號	2016/6/27	公告解除列管本市本市東區虎尾寮0591-0017地號(千越加油站實業股份有限公司所有本市東區千越東門加油站)地下水污染控制場址及地下水污染管制區。		D10255	臺南市	0	1
府環水字第1050148899號	2016/6/24	公告本市平鎮區南華段959(部分坵塊)地號、966地號及961(部分坵塊)地號等3筆土地為土壤污染控制場址及土壤污染管制區。		H13371	桃園市	1	0
府環水字第1050148899號	2016/6/24	公告本市平鎮區南華段959(部分坵塊)地號、966地號及961(部分坵塊)地號等3筆土地為土壤污染控制場址及土壤污染管制區。		H13370	桃園市	1	0
府環水字第1050137014	2016/6/23	公告解除本市中壢區內壢段527、527-1、527-2、527-3、538、588-5、601等7筆土地為土壤污染控制場址及土壤污染管制區之劃定。		H13335	桃園市	1	0
府環水字第1050137014	2016/6/23	公告解除本市中壢區內壢段527、527-1、527-2、527-3、538、588-5、601等7筆土地為土壤污染控制場址及土壤污染管制區之劃定。		H13334	桃園市	1	0
府環水字第1050137014	2016/6/23	公告解除本市中壢區內壢段527、527-1、527-2、527-3、538、588-5、601等7筆土地為土壤污染控制場址及土壤污染管制區之劃定。		H13333	桃園市	1	0
府環水字第1050137014	2016/6/23	公告解除本市中壢區內壢段527、527-1、527-2、527-3、538、588-5、601等7筆土地為土壤污染控制場址及土壤污染管制區之劃定。		H13332	桃園市	1	0
府環水字第1050137014	2016/6/23	公告解除本市中壢區內壢段527、527-1、527-2、527-3、538、588-5、601等7筆土地為土壤污染控制場址及土壤污染管制區之劃定。		H00246	桃園市	1	0
府環水字第1050137014	2016/6/23	公告解除本市中壢區內壢段527、527-1、527-2、527-3、538、588-5、601等7筆土地為土壤污染控制場址及土壤污染管制區之劃定。		H00227	桃園市	1	0
府環水字第1050137014	2016/6/23	公告解除本市中壢區內壢段527、527-1、527-2、527-3、538、588-5、601等7筆土地為土壤污染控制場址及土壤污染管制區之劃定。		H00226	桃園市	1	0
府授環水字第1050187016號	2016/6/21	公告本縣花壇鄉溪北段0758-0000地號為土壤污染控制場址，並劃定為土壤污染管制區，即日起管制區之土地使用或人為活動予以管制或限制。		N12431	彰化縣	0	0
府環水字第1050131813號	2016/6/17	公告解除本市蘆竹區中興段672、726-1地號、大園區埔心段三塊厝小段254、302地號及五塊厝下埔小段962地號等5筆土地污染控制場址及土壤污染管制區之列管及管制。		H00067	桃園市	1	0
府環水字第1050131813號	2016/6/17	公告解除本市蘆竹區中興段672、726-1地號、大園區埔心段三塊厝小段254、302地號及五塊厝下埔小段962地號等5筆土地污染控制場址及土壤污染管制區之列管及管制。		H10242	桃園市	1	0
府環水字第1050131813號	2016/6/17	公告解除本市蘆竹區中興段672、726-1地號、大園區埔心段三塊厝小段254、302地號及五塊厝下埔小段962地號等5筆土地污染控制場址及土壤污染管制區之列管及管制。		H10219	桃園市	1	0
府環水字第1050131813號	2016/6/17	公告解除本市蘆竹區中興段672、726-1地號、大園區埔心段三塊厝小段254、302地號及五塊厝下埔小段962地號等5筆土地污染控制場址及土壤污染管制區之列管及管制。		H10215	桃園市	1	0
府環水字第1050131813號	2016/6/17	公告解除本市蘆竹區中興段672、726-1地號、大園區埔心段三塊厝小段254、302地號及五塊厝下埔小段962地號等5筆土地污染控制場址及土壤污染管制區之列管及管制。		H00028	桃園市	1	0
新北環水字第1051030552號	2016/6/6	公告「新北市樹林區東豐段184及185地號(輝松實業股份有限公司)」為土壤污染控制場址，並劃定土壤污染管制區(如附圖)。	新北市樹林區東豐段184及185地號地號土地範圍內	F10295	新北市	1	0
府環水字第10501134051號	2016/6/2	公告永華機械工業股份有限公司八德廠所在土地為土壤及地下水污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。	公告永華機械工業股份有限公司八德廠所在土地為土壤及地下水污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。公告永華機械工業股份有限公司八德廠所在土地為土壤及地下水污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。	H13347	桃園市	1	1
府環水字第1050100931號	2016/5/26	公告臺灣永光化學工業股份有限公司第三廠所在土地為土壤及地下水污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。	桃園市觀音區觀音工業區段五小段113-2及113-3地號桃園市觀音區觀音工業區段五小段113-2及113-3地號	H13349	桃園市	1	1
府環水字第1050100038號	2016/5/25	公告解除本市中壢區內壢段513、548、656、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	公告解除本市中壢區內壢段513、548、686、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	H00252	桃園市	1	0
府環水字第1050100038號	2016/5/25	公告解除本市中壢區內壢段513、548、656、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	公告解除本市中壢區內壢段513、548、686、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	H00251	桃園市	1	0
府環水字第1050100038號	2016/5/25	公告解除本市中壢區內壢段513、548、656、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	公告解除本市中壢區內壢段513、548、686、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	H00231	桃園市	1	0
府環水字第1050100038號	2016/5/25	公告解除本市中壢區內壢段513、548、656、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	公告解除本市中壢區內壢段513、548、686、657等4筆土地所為土壤污染控制場址及土壤污染管制區之劃定。	H00224	桃園市	1	0
新北環水字第1050918878號	2016/5/24	公告臺灣理研工業股份有限公司位於新北市五股區御史段552、560(部分)、562(部分)、563(部分)等4筆地號之土地為土壤污染控制場址，並劃定土壤污染管制區(如附圖)。	新北市五股區御史段552、560(部分)、562(部分)、563(部分)等4筆地號土地範圍內，場址面積共計1200.39平方公尺。	F10287	新北市	1	0
府環水字第1050015294B號	2016/5/10	公告本縣大湖鄉富興段230-1地號為土壤污染控制場址及土壤污染管制區。	公告本縣大湖鄉富興段230-1地號為土壤污染控制場址及土壤污染管制區。	K10144	苗栗縣	1	0
府環水字第10501000211號	2016/5/10	公告台硝股份有限公司桃園廠所在土地為地下水污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。	公告台硝股份有限公司桃園廠所在土地為地下水污染管制區，即日起管制區內之土地使用或人為活動予以管制或限制。	H13344	桃園市	0	1
府環水字第1050095008號	2016/5/5	公告解除本市大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤污染管制區之列管及管制。	公告解除本是大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤汙染管制區隻列管及管制。	H10175	桃園市	1	0
府環水字第1050095008號	2016/5/5	公告解除本市大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤污染管制區之列管及管制。	公告解除本是大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤汙染管制區隻列管及管制。	H10235	桃園市	1	0
府環水字第1050095008號	2016/5/5	公告解除本市大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤污染管制區之列管及管制。	公告解除本是大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤汙染管制區隻列管及管制。	H10218	桃園市	1	0
府環水字第1050095008號	2016/5/5	公告解除本市大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤污染管制區之列管及管制。	公告解除本是大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤汙染管制區隻列管及管制。	H10213	桃園市	1	0
府環水字第1050095008號	2016/5/5	公告解除本市大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤污染管制區之列管及管制。	公告解除本是大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤汙染管制區隻列管及管制。	H10176	桃園市	1	0
府環水字第1050095008號	2016/5/5	公告解除本市大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤污染管制區之列管及管制。	公告解除本是大園區五塊厝下埔小段806地號、埔心段三塊厝小段235、295地號、蘆竹區新庄子段695、699地號及中興段875-1地號等6筆土地污染控制場址及土壤汙染管制區隻列管及管制。	H00079	桃園市	1	0
府授環水字第1050144089號	2016/5/4	公告本縣學一企業股份有限公司所在土地為土壤及地下水污染控制場址，並劃定為土壤及地下水污染管制區，即日起管制區內之土地使用人或人為活動予以管制或限制。	公告本縣學一企業股份有限公司所在土地為土壤及地下水污染控制場址，並劃定為土壤及地下水污染管制區，即日起管制區內之土地使用人或人為活動予以管制或限制。公告本縣學一企業股份有限公司所在土地為土壤及地下水污染控制場址，並劃定為土壤及地下水污染管制區，即日起管制區內之土地使用人或人為活動予以管制或限制。	N12074	彰化縣	1	1
府授環水字第1050135552號	2016/5/4	公告解除本縣和美鎮新發段0517-0000地號土壤污染制場址及土壤污染管制區之管制。		N10648	彰化縣	0	0
府環土字第1050327777D號	2016/4/29	公告解除本市安南區學東段0895-0000、0896-0000、0896-0001共3筆地號土地之土壤及地下水污染控制場址及土壤及地下水污染管制區列管。	公告解除本市安南區學東段0895-0000、0896-0000、0896-0001共3筆地號土地之土壤及地下水污染控制場址及土壤及地下水污染管制區列管。公告解除本市安南區學東段0895-0000、0896-0000、0896-0001共3筆地號土地之土壤及地下水污染控制場址及土壤及地下水污染管制區列管。	D10182	臺南市	1	1
新北環水字第10505716121號	2016/4/21	檢送貴局所屬「第一區養護工程處保養廠」位於新北市樹林區圳民段761地號之土地為土壤污染控制場址，並劃定土壤污染管制區之公告文件1份，詳如說明，請查照。	新北市樹林區圳民段761地號土地範圍內，場址面積共計12437.02平方公尺。	F10285	新北市	1	0
中市環水字第1050038799號	2016/4/20	公告台中市梧棲區港口段335-9地號土地為地下水污染管制區，即日起管制區內之地下水使用或人為活動予以管制或限制。	公告台中市梧棲區港口段335-9地號土地為地下水污染管制區，即日起管制區內之地下水使用或人為活動予以管制或限制。	B11795	臺中市	0	1
府環水字第1050010952B號	2016/4/7	公告本縣竹南鎮大同段430地號為地下水受污染使用限制地區。	公告本縣竹南鎮大同段430地號為地下水受污染使用限制地區。	K10188	苗栗縣	0	1
府授環水字第1050006524A號	2016/3/10	公告本縣蘇澳鎮南正段31-1地號為地下水污染控制場址並劃定地下水污染管制區範圍，即日起管制區內土地使用或人為活動予以管制或限制。	公告本縣蘇澳鎮南正段31-1地號為地下水污染控制場址並劃定地下水污染管制區範圍，即日起管制區內土地使用或人為活動予以管制或限制。	G10122	宜蘭縣	0	1
北市環二字第10531259700號	2016/3/8	公告本市西歐士林加油站「臺北市士林區中山北路五段570號（福林段三小段785地號等7筆地號）」為地下水污染控制場址並劃定為地下水污染管制區。		A00655	臺北市	0	1
府授環水字第1050037257號	2016/3/7	公告解除本縣「舒爽實業有限公司」所屬南光加油站所在土地（基地坐落：南投縣水里鄉永豐段0933-0000地號）之土壤污染控制場址暨土壤污染管制區。	南投縣水里鄉永豐段0933-0000地號	M10090	南投縣	1	0
府環水字第1050007203B號	2016/3/4	公告本縣苑裡鎮新復東段440-1地號為土壤污染控制場址及土壤污染管制區。	公告本縣苑裡鎮新復東段440-1地號為土壤污染控制場址及土壤污染管制區。	K10175	苗栗縣	1	0
府授環水字第1050005519A號	2016/3/2	公告解除本縣「五結鄉五結段970地號(東寶加油站)地下水污染控制場址」之管制及列管。	公告解除本縣「五結鄉五結段970地號(東寶加油站)地下水污染控制場址」之管制及列管。	G10166	宜蘭縣	0	1
新北環水字第10502890152號	2016/3/2	公告愛米斯機械工業股份有限公司(位於新北市新莊區民安段324、324-1等2筆地號)之土地為土壤污染控制場址，並劃定土壤污染管區。	新北市新莊區民安段324、324-1地號土地範圍內，場址面積共計2941.5平方公尺。	F10286	新北市	1	0
高市環局土字第10531535602號	2016/2/26	公告本市光陽工業股份有限公司路竹廠為地下水污染控制場址及地下水污染管制區，即日起管制內之土地使用或人為活動予以管制或限制。		E10308	高雄市	0	0
新北環水字第10502610972號	2016/2/23	公告金緞工業股份有限公司三廠(位於新北市萬里區中萬里加投段瑪鍊港內小段149-20地號)之部分土地為土壤污染控制場址，並劃定土壤污染管制區。	新北市萬里區中萬里加投段瑪鍊港內小段149-20地號	F10284	新北市	1	0
高市環局土字第10531086903號	2016/2/17	公告本市林園區中國合成橡膠股份有限公司碳煙廠為土壤及地下水污染控制場址暨土壤及地下水污染管制區，即日起管制區內土地使用或人為活動予以管制或限制。	高雄市林園區汕尾段2008地號高雄市林園區汕尾段2008地號	E10437	高雄市	1	1
新北環水字第1050217339號	2016/2/15	公告三聖諦企業有限公司位於新北市樹林區圳德段723、724地號之土地為土壤污染控制場址，並劃定土壤污染管制區(如附圖)。	新北市樹林區圳德段723、724地號	F10265	新北市	1	0
府環水字第1050004323B號	2016/2/2	公告本縣竹南鎮新崎頂段2095地號為土壤污染控制場址及土壤污染管制區。		K10161	苗栗縣	0	0
府環水字第1050014631號	2016/2/2	公告解除本市大園區五塊厝段下埔小段1790、1791地號及大牛稠段大牛稠小段225-21(部分坵塊)地號等3筆土地所為土壤污控制場址及列管與土壤污染管制區之劃定。	公告解除本市大園區五塊厝段下埔小段1790、1791地號及大牛稠段大牛稠小段225-21(部分坵塊)地號等3筆土地所為土壤污控制場址及列管與土壤污染管制區之劃定。	H12671	桃園市	1	0
府環水字第1050014631號	2016/2/2	公告解除本市大園區五塊厝段下埔小段1790、1791地號及大牛稠段大牛稠小段225-21(部分坵塊)地號等3筆土地所為土壤污控制場址及列管與土壤污染管制區之劃定。	公告解除本市大園區五塊厝段下埔小段1790、1791地號及大牛稠段大牛稠小段225-21(部分坵塊)地號等3筆土地所為土壤污控制場址及列管與土壤污染管制區之劃定。	H11057	桃園市	1	0
府環水字第1050014631號	2016/2/2	公告解除本市大園區五塊厝段下埔小段1790、1791地號及大牛稠段大牛稠小段225-21(部分坵塊)地號等3筆土地所為土壤污控制場址及列管與土壤污染管制區之劃定。	公告解除本市大園區五塊厝段下埔小段1790、1791地號及大牛稠段大牛稠小段225-21(部分坵塊)地號等3筆土地所為土壤污控制場址及列管與土壤污染管制區之劃定。	H11056	桃園市	1	0
新北環水字第1050090332號	2016/2/2	公告「台灣艾銳勢股份有限公司所屬新店廠」位於新北勢新店區寶橋段615(A)地號土地為土壤污染控制場址，並劃定土壤污染管制區。	新北市新店區寶橋段615(A)地號	F10289	新北市	1	0
高市環局土字第10530432501號	2016/1/21	高雄市前鎮區憲德段二小段9地號土壤污染控制場址解除管制暨解除土壤污染管制區劃定公告。		E10210	高雄市	0	0
府環水字第1050001484號	2016/1/18	公告解除本市大園區埔心段埔心小段595地號土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段595地號土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H10426	桃園市	1	0
府授環水字第1040067851號	2016/1/11	公告本縣和美鎮西鄉路122巷30號場區土地（地號：和美鎮月眉段282-12、282-13、282-14地號）為土壤污染控制場址，並劃定為土壤污染管制區。		N10955	彰化縣	0	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	經本府環境保護局委託進行污染改善後，分別於103年11月7日、12月31日、104年3月30日、7月14日、9月30至10月2日、10月22日至23日、10月26日至27日、10月29日、11月6日，11月16日至17日、11月19至20日進行驗證，土壤中重金屬項目皆以低於食用作物農地管制標準，故予已解除控制場址及管制區及相關管制事項。	H12317	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H11099	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H13331	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H13330	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12850	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12831	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12830	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12595	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12593	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12565	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12487	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12408	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12368	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12367	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12354	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12350	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12349	桃園市	1	0
府環水字第1040342574號	2016/1/5	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	公告解除本市大園區埔心段埔心小段35-5地號等127筆土地所為土壤污染控制場址之管制及列管與土壤污染管制區之劃定。	H12333	桃園市	1	0
